Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1960.79,0.11,0.06,0.08,0.02
1960.88,-0.08,-0.11,-0.25,-0.01
1960.96,0.19,0.19,0.45,0.03
1961.04,0.1,0.07,0.24,0.03
1961.13,0.22,0.19,0.44,0.09
1961.21,0.03,0.09,0.25,0.08
1961.29,0.14,0.13,0.18,0.07
1961.38,0.18,0.12,0.28,0.06
1961.46,0.16,0.12,0.29,0.04
1961.54,0.06,0.01,0.04,0
1961.63,0.07,0.01,0.1,0.01
1961.71,0.22,0.08,0.24,-0.01
1961.79,0.11,0,-0.06,-0.01
1961.88,0.09,0.03,0.06,-0.02
1961.96,-0.16,-0.16,-0.37,-0.01
1962.04,0.03,0.05,0.23,-0.01
1962.13,0.18,0.15,0.45,-0.01
1962.21,0.1,0.1,0.24,0.01
1962.29,0.07,0.05,0.11,-0.02
1962.38,-0.13,-0.06,-0.14,0.03
1962.46,0.04,0.03,-0.04,0.03
1962.54,-0.11,0.02,-0.12,0.09
1962.63,-0.05,-0.01,-0.09,0.02
1962.71,0.01,0,-0.05,0.07
1962.79,0.05,0.01,0.08,0.02
1962.88,0.11,0.06,0.15,-0.02
1962.96,-0.01,-0.03,0.08,-0.03
1963.04,0,-0.03,0.05,-0.05
1963.13,0.23,0.18,0.68,-0.01
1963.21,-0.21,-0.14,-0.16,-0.01
1963.29,-0.2,-0.07,-0.32,0.03
1963.38,-0.14,-0.06,-0.27,0.06
1963.46,0.04,0.05,0.04,0.04
1963.54,0.04,0.06,0.14,0.03
1963.63,0.18,0.22,0.43,0.1
1963.71,0.24,0.18,0.49,0.05
1963.79,0.14,0.14,0.59,0.01
1963.88,0.09,0.15,0.41,0.05
1963.96,-0.04,-0.03,-0.12,0.04
1964.04,-0.06,-0.09,0.04,-0.02
1964.13,-0.11,-0.1,-0.24,-0.05
1964.21,-0.23,-0.21,-0.33,-0.08
1964.29,-0.35,-0.32,-0.53,-0.13
1964.38,-0.32,-0.25,-0.32,-0.13
1964.46,-0.12,-0.04,0.01,-0.08
1964.54,-0.05,-0.04,-0.01,-0.09
1964.63,-0.29,-0.22,-0.2,-0.16
1964.71,-0.38,-0.29,-0.48,-0.17
